"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"4615","230297  4","02",3,"2302974",1,1,4,1,2,1,2,17,17,1,0,0,2,1,0,1,1,3,21,1,17,2,1,1
"4616","230262  1","02",7,"2302621",0,1,0,1,1,1,1,23,19,0,0,1,1,1,1,0,1,3,33,1,19,2,1,0
"4617","230280  1","02",8,"2302801",1,2,0,1,5,2,1,11,19,2,0,0,3,1,0,2,0,2,31,1,19,1,0,0
"4618","2302 8  1","02",7,"230281",0,2,0,1,5,2,2,17,13,1,0,2,1,1,0,2,1,1,33,1,13,2,1,0
"4619","230220  2","02",10,"2302202",0,2,0,1,2,1,2,16,16,1,0,0,2,1,0,8,1,2,29,1,16,2,1,0
"4620","230214  2","02",10,"2302142",0,1,0,1,2,1,2,13,13,1,0,2,2,1,0,1,0,2,37,1,13,0,0,0
"4621","230237  5","02",8,"2302375",0,1,0,1,2,1,2,14,15,1,0,0,4,1,0,2,0,4,32,1,15,1,0,0
"4622","230285  2","02",6,"2302852",1,1,0,1,2,1,1,15,15,2,0,0,3,1,0,2,0,2,23,1,15,0,0,0
"4623","230287  4","02",6,"2302874",1,1,4,1,2,1,1,17,16,1,1,0,2,1,0,1,0,2,24,7,16,1,0,1
"4624","287358  1","02",13,"2873581",0,2,0,1,5,2,1,26,20,2,0,1,2,1,0,1,0,2,41,1,20,1,0,0
"4625","287380  2","02",10,"2873802",0,2,0,1,1,1,1,25,25,3,0,0,5,1,1,1,1,2,43,1,25,2,1,0
